2026-04-30 01:01:59 [SERIES] idx=0 | Type=Minute | Value=3
2026-04-30 01:01:59 [SERIES] idx=1 | Type=Minute | Value=60
2026-04-30 01:01:59 [SERIES] idx=2 | Type=Minute | Value=15
2026-04-30 01:01:59 ── Nouveau jour : 02/03/2026 00:00:00 ──
2026-04-30 01:01:59 [SERIES] idx=0 Type=Minute Value=3
2026-04-30 01:01:59 [SERIES] idx=1 Type=Minute Value=60
2026-04-30 01:01:59 [SERIES] idx=2 Type=Minute Value=15
2026-04-30 01:01:59 [SERIES] idx=0 Type=Minute Value=3
2026-04-30 01:01:59 [SERIES] idx=1 Type=Minute Value=60
2026-04-30 01:01:59 [SERIES] idx=2 Type=Minute Value=15
2026-04-30 01:01:59 [ICT DEBUG] 02:00 | Biais:bearish | BSL:27137,50 | SSL:0,00 | RSI:50,0 | Close:25000,50 | H1bars:984
2026-04-30 01:01:59 [SERIES] idx=0 Type=Minute Value=3
2026-04-30 01:01:59 [SERIES] idx=1 Type=Minute Value=60
2026-04-30 01:01:59 [SERIES] idx=2 Type=Minute Value=15
2026-04-30 01:01:59 [ICT DEBUG] 02:03 | Biais:bearish | BSL:27137,50 | SSL:0,00 | RSI:50,0 | Close:24997,75 | H1bars:984
2026-04-30 01:01:59 [ICT DEBUG] 02:06 | Biais:bearish | BSL:27137,50 | SSL:0,00 | RSI:50,0 | Close:25023,25 | H1bars:984
2026-04-30 01:01:59 [ICT DEBUG] 02:09 | Biais:bearish | BSL:27137,50 | SSL:0,00 | RSI:50,0 | Close:25049,25 | H1bars:984
2026-04-30 01:01:59 [ICT DEBUG] 02:12 | Biais:bearish | BSL:27137,50 | SSL:0,00 | RSI:50,0 | Close:25086,00 | H1bars:984
2026-04-30 01:01:59 [ICT DEBUG] 02:15 | Biais:bearish | BSL:27137,50 | SSL:0,00 | RSI:50,0 | Close:25088,25 | H1bars:984
2026-04-30 01:01:59 [ICT DEBUG] 02:18 | Biais:bearish | BSL:27137,50 | SSL:0,00 | RSI:50,0 | Close:25094,75 | H1bars:984
2026-04-30 01:01:59 [ICT DEBUG] 02:21 | Biais:bearish | BSL:27137,50 | SSL:0,00 | RSI:50,0 | Close:25087,50 | H1bars:984
2026-04-30 01:01:59 [ICT DEBUG] 02:24 | Biais:bearish | BSL:27137,50 | SSL:0,00 | RSI:50,0 | Close:25074,00 | H1bars:984
2026-04-30 01:01:59 [ICT DEBUG] 02:27 | Biais:bearish | BSL:27137,50 | SSL:0,00 | RSI:50,0 | Close:25070,25 | H1bars:984
2026-04-30 01:01:59 [ICT DEBUG] 02:30 | Biais:bearish | BSL:27137,50 | SSL:0,00 | RSI:50,0 | Close:25083,50 | H1bars:984
2026-04-30 01:01:59 [ICT DEBUG] 02:33 | Biais:bearish | BSL:27137,50 | SSL:0,00 | RSI:50,0 | Close:25100,00 | H1bars:984
2026-04-30 01:01:59 [ICT DEBUG] 02:36 | Biais:bearish | BSL:27137,50 | SSL:0,00 | RSI:50,0 | Close:25102,00 | H1bars:984
2026-04-30 01:01:59 [ICT DEBUG] 02:39 | Biais:bearish | BSL:27137,50 | SSL:0,00 | RSI:50,0 | Close:25110,00 | H1bars:984
2026-04-30 01:01:59 [ICT DEBUG] 02:42 | Biais:bearish | BSL:27137,50 | SSL:0,00 | RSI:50,0 | Close:25090,75 | H1bars:984
2026-04-30 01:01:59 [ICT DEBUG] 02:45 | Biais:bearish | BSL:27137,50 | SSL:0,00 | RSI:50,0 | Close:25083,75 | H1bars:984
