setup,direction,bias,session,entry,sl,tp,rr,qty,entry_time,entry_tf,exit,exit_time,result,exit_note,_confirm_check_i15,_confirm_level,r_pnl,equity_r
1,short,bearish,asia,6958.0,6968.0,6933.0,2.5,25,2018-01-30 05:13:00,1m,6933.0,2018-01-30 05:15:00,win,TP,,6945.0,2.446,2.446
1,short,bearish,ny,6526.75,6539.0,6496.125,2.5,20,2018-02-06 16:16:00,1m,6496.125,2018-02-06 16:30:00,win,TP,,6539.0,2.4559183673469387,4.901918367346939
2,long,bullish,ny,6478.25,6467.75,6504.5,0.35714285714285715,23,2018-02-08 19:46:00,1m,6474.5,2018-02-08 20:00:00,loss,EOD_CLOSE,4348.0,6490.25,-1.0514285714285714,3.8504897959183673
2,long,bullish,ny,6484.25,6474.25,6509.25,2.5,25,2018-02-12 15:34:00,1m,6509.25,2018-02-12 15:45:00,win,1m_TP_first,,6490.25,2.446,6.296489795918367
2,long,bullish,ny,6460.25,6446.75,6494.0,2.5,18,2018-02-12 16:36:00,1m,6494.0,2018-02-12 17:15:00,win,TP,,6430.75,2.46,8.756489795918366
2,long,bullish,ny,6482.5,6472.5,6507.5,2.5,25,2018-02-12 17:34:00,1m,6507.5,2018-02-12 17:45:00,win,TP,,6490.25,2.446,11.202489795918366
2,long,bullish,london,6723.5,6713.5,6748.5,2.5,25,2018-02-15 14:35:00,1m,6713.5,2018-02-15 15:30:00,loss,SL,,6715.75,-1.054,10.148489795918366
2,long,bullish,ny,6775.5,6765.5,6800.5,0.05,25,2018-02-22 19:56:00,1m,6776.0,2018-02-22 20:00:00,win,EOD_CLOSE,5264.0,6762.0,-0.0040000000000000036,10.144489795918366
2,long,bullish,ny,6813.75,6803.75,6838.75,2.5,25,2018-03-05 16:58:00,1m,6838.75,2018-03-05 17:00:00,win,TP,,6841.0,2.446,12.590489795918366
2,long,bullish,ny,6852.5,6842.5,6877.5,2.5,25,2018-03-05 17:20:00,1m,6842.5,2018-03-05 17:30:00,loss,1m_SL_first,,6841.0,-1.054,11.536489795918365
2,long,bullish,ny,6880.75,6870.75,6905.75,0.775,25,2018-03-05 18:04:00,1m,6873.0,2018-03-05 18:15:00,loss,M15_INVALIDATED,5909.0,6904.0,-1.054,10.482489795918365
2,long,bullish,ny,6870.25,6860.25,6895.25,2.5,25,2018-03-05 18:41:00,1m,6895.25,2018-03-05 18:45:00,win,TP,,6893.25,2.446,12.928489795918365
2,long,bullish,ny,6881.75,6871.75,6906.75,2.5,25,2018-03-05 19:01:00,1m,6906.75,2018-03-05 19:15:00,win,TP,,6904.0,2.446,15.374489795918365
2,long,bullish,ny,6884.25,6874.25,6909.25,0.325,25,2018-03-05 19:32:00,1m,6881.0,2018-03-05 19:45:00,loss,M15_INVALIDATED,5915.0,6904.0,-1.054,14.320489795918364
2,long,bullish,asia,6884.25,6874.25,6909.25,0.1,25,2018-03-06 03:38:00,1m,6883.25,2018-03-06 04:00:00,loss,M15_INVALIDATED,5945.0,6893.25,-1.054,13.266489795918364
2,long,bullish,asia,6886.5,6876.5,6911.5,0.125,25,2018-03-06 04:25:00,1m,6887.75,2018-03-06 04:30:00,win,M15_INVALIDATED,5947.0,6893.25,0.071,13.337489795918364
2,long,bullish,ny,6915.0,6905.0,6940.0,2.5,25,2018-03-06 17:44:00,1m,6905.0,2018-03-06 17:45:00,loss,SL,,6893.0,-1.054,12.283489795918364
2,long,bullish,asia,6854.75,6844.75,6879.75,2.5,25,2018-03-07 02:35:00,1m,6844.75,2018-03-07 02:45:00,loss,1m_SL_first,,6841.0,-1.054,11.229489795918363
2,long,bullish,asia,6848.75,6838.75,6873.75,0.225,25,2018-03-07 03:25:00,1m,6851.0,2018-03-07 03:30:00,win,M15_INVALIDATED,6036.0,6871.75,0.17099999999999999,11.400489795918363
2,long,bullish,asia,6846.0,6836.0,6871.0,2.3,25,2018-03-07 04:02:00,1m,6869.0,2018-03-07 04:15:00,win,M15_INVALIDATED,6039.0,6871.75,2.246,13.646489795918363
2,long,bullish,asia,6862.0,6852.0,6887.0,2.5,25,2018-03-07 04:44:00,1m,6852.0,2018-03-07 04:45:00,loss,SL,,6841.0,-1.054,12.592489795918363
1,short,bearish,asia,6824.5,6834.5,6799.5,2.8,25,2018-03-07 07:11:00,1m,6852.5,2018-03-07 07:15:00,loss,M15_INVALIDATED,6051.0,6838.25,-1.054,11.538489795918363
2,long,bullish,ny,6916.25,6906.25,6941.25,2.5,25,2018-03-21 19:01:00,1m,6941.25,2018-03-21 19:15:00,win,1m_TP_first,,6928.0,2.446,13.984489795918362
2,long,bullish,london,6346.25,6336.25,6371.25,2.5,25,2018-04-04 14:28:00,1m,6371.25,2018-04-04 14:45:00,win,TP,,6351.25,2.446,16.430489795918362
